생성시간	이미지	분류(1 = 장소, 2 = 건물 입구, 3 = 건물 엘베, 0 = 못 쓰는 정보)
2022-11-19 14:38:22	https://scc-accessibility-images.s3.ap-northeast-2.amazonaws.com/20221119053821_E45CD6A68DB643BE.jpeg	1
2022-11-19 14:38:23	https://scc-accessibility-images.s3.ap-northeast-2.amazonaws.com/20221119053821_8E2D435869C94EC7.jpeg	1
2022-11-19 14:38:24	https://scc-accessibility-images.s3.ap-northeast-2.amazonaws.com/20221119053821_E39E994B09F54DE7.jpeg	1
2022-11-19 14:38:56	https://scc-accessibility-images.s3.ap-northeast-2.amazonaws.com/20221119053853_05CA3105E45246AD.jpeg	2
2022-11-19 14:38:56	https://scc-accessibility-images.s3.ap-northeast-2.amazonaws.com/20221119053853_83DB6C7713C94030.jpeg	1
2022-11-19 14:39:42	https://scc-accessibility-images.s3.ap-northeast-2.amazonaws.com/20221119053940_E4177E5BD24F4B55.jpeg	1
2022-11-19 14:40:18	https://scc-accessibility-images.s3.ap-northeast-2.amazonaws.com/20221119054016_E8FA3BD6653E4984.jpeg	1
2022-11-19 14:40:18	https://scc-accessibility-images.s3.ap-northeast-2.amazonaws.com/20221119054017_ABBEF9FFA3E3499C.jpeg	1
2022-11-19 14:40:19	https://scc-accessibility-images.s3.ap-northeast-2.amazonaws.com/20221119054016_205881997B4A4CB6.jpeg	1
2022-11-19 14:40:37	https://scc-accessibility-images.s3.ap-northeast-2.amazonaws.com/20221119054031_9F74D608DCA14783.jpeg	1
2022-11-19 14:40:37	https://scc-accessibility-images.s3.ap-northeast-2.amazonaws.com/20221119054031_EE97B426079C4FCA.jpeg	1
2022-11-19 14:40:43	https://scc-accessibility-images.s3.ap-northeast-2.amazonaws.com/20221119054031_5AA3CC10C4144984.jpeg	2
2022-11-19 14:40:43	https://scc-accessibility-images.s3.ap-northeast-2.amazonaws.com/20221119054031_F638BE3D36A74837.jpeg	2
2022-11-19 14:40:45	https://scc-accessibility-images.s3.ap-northeast-2.amazonaws.com/20221119054031_74452940015A486E.jpeg	3
2022-11-19 14:40:45	https://scc-accessibility-images.s3.ap-northeast-2.amazonaws.com/20221119054031_AB18F85B8DC7406A.jpeg	3
2022-11-19 14:40:53	https://scc-accessibility-images.s3.ap-northeast-2.amazonaws.com/20221119054050_0280993478434A9E.jpeg	1
2022-11-19 14:40:53	https://scc-accessibility-images.s3.ap-northeast-2.amazonaws.com/20221119054050_0DA6A4B2921A4298.jpeg	1
2022-11-19 14:41:39	https://scc-accessibility-images.s3.ap-northeast-2.amazonaws.com/20221119054136_2986D9486BAE42BC.jpeg	1
2022-11-19 14:41:41	https://scc-accessibility-images.s3.ap-northeast-2.amazonaws.com/20221119054136_414BDE8D074B429D.jpeg	2
2022-11-19 14:42:29	https://scc-accessibility-images.s3.ap-northeast-2.amazonaws.com/20221119054227_AE0623FEF9CF4036.jpeg	1
2022-11-19 14:43:27	https://scc-accessibility-images.s3.ap-northeast-2.amazonaws.com/20221119054325_10A8EBD095F846E5.jpeg	1
2022-11-19 14:43:29	https://scc-accessibility-images.s3.ap-northeast-2.amazonaws.com/20221119054327_7FD03422C73046F7.jpeg	1
2022-11-19 14:43:30	https://scc-accessibility-images.s3.ap-northeast-2.amazonaws.com/20221119054327_05C0E6695E7F4EEF.jpeg	2
2022-11-19 14:43:31	https://scc-accessibility-images.s3.ap-northeast-2.amazonaws.com/20221119054327_2BE6C4C87B4844B8.jpeg	3
2022-11-19 14:43:35	https://scc-accessibility-images.s3.ap-northeast-2.amazonaws.com/20221119054333_0D7354B5DC8E491C.jpeg	1
2022-11-19 14:43:35	https://scc-accessibility-images.s3.ap-northeast-2.amazonaws.com/20221119054333_87B7F0C5F1BC4F73.jpeg	1
2022-11-19 14:43:35	https://scc-accessibility-images.s3.ap-northeast-2.amazonaws.com/20221119054333_E3D96024FAD6444A.jpeg	2
2022-11-19 14:43:36	https://scc-accessibility-images.s3.ap-northeast-2.amazonaws.com/20221119054333_757007B5210A487B.jpeg	2
2022-11-19 14:43:36	https://scc-accessibility-images.s3.ap-northeast-2.amazonaws.com/20221119054333_A9EBED46AAF84C22.jpeg	3
2022-11-19 14:43:36	https://scc-accessibility-images.s3.ap-northeast-2.amazonaws.com/20221119054333_EBB7932906B0427F.jpeg	2
2022-11-19 14:44:23	https://scc-accessibility-images.s3.ap-northeast-2.amazonaws.com/20221119054402_57314D8E7A694DC2.jpeg	1
2022-11-19 14:44:23	https://scc-accessibility-images.s3.ap-northeast-2.amazonaws.com/20221119054421_AC01582044DF4476.jpeg	1
2022-11-19 14:44:24	https://scc-accessibility-images.s3.ap-northeast-2.amazonaws.com/20221119054422_DAF31ADADD9742CA.jpeg	1
2022-11-19 14:44:29	https://scc-accessibility-images.s3.ap-northeast-2.amazonaws.com/20221119054402_611F11ABB1C0458F.jpeg	1
2022-11-19 14:44:55	https://scc-accessibility-images.s3.ap-northeast-2.amazonaws.com/20221119054452_2F44E0F3C94D4FCE.jpeg	1
2022-11-19 14:44:55	https://scc-accessibility-images.s3.ap-northeast-2.amazonaws.com/20221119054452_DF972F39DBE2455A.jpeg	1
2022-11-19 14:44:55	https://scc-accessibility-images.s3.ap-northeast-2.amazonaws.com/20221119054454_86E11DDCCED74756.jpeg	1
2022-11-19 14:45:53	https://scc-accessibility-images.s3.ap-northeast-2.amazonaws.com/20221119054550_938CB89898B64107.jpeg	1
2022-11-19 14:46:12	https://scc-accessibility-images.s3.ap-northeast-2.amazonaws.com/20221119054610_9CB420DBB4BD40EB.jpeg	1
2022-11-19 14:46:13	https://scc-accessibility-images.s3.ap-northeast-2.amazonaws.com/20221119054610_89378EDB33924D8A.jpeg	2
2022-11-19 14:46:22	https://scc-accessibility-images.s3.ap-northeast-2.amazonaws.com/20221119054620_20C0B8B9E81245E9.jpeg	2
2022-11-19 14:46:22	https://scc-accessibility-images.s3.ap-northeast-2.amazonaws.com/20221119054620_DDA1944CAEBD4E0D.jpeg	1
2022-11-19 14:46:23	https://scc-accessibility-images.s3.ap-northeast-2.amazonaws.com/20221119054620_89191DF38B8A4438.jpeg	3
2022-11-19 14:46:23	https://scc-accessibility-images.s3.ap-northeast-2.amazonaws.com/20221119054620_FF08907C12014764.jpeg	2
2022-11-19 14:46:24	https://scc-accessibility-images.s3.ap-northeast-2.amazonaws.com/20221119054620_6FDBA0B74D4E4D20.jpeg	2
2022-11-19 14:46:24	https://scc-accessibility-images.s3.ap-northeast-2.amazonaws.com/20221119054620_788472529F954D68.jpeg	3
2022-11-19 14:46:45	https://scc-accessibility-images.s3.ap-northeast-2.amazonaws.com/20221119054634_A75BBF559A0B4E08.jpeg	0
2022-11-19 14:46:59	https://scc-accessibility-images.s3.ap-northeast-2.amazonaws.com/20221119054644_AD1C630D6E604FD4.jpeg	1
2022-11-19 14:46:59	https://scc-accessibility-images.s3.ap-northeast-2.amazonaws.com/20221119054644_F9C09621C5054955.jpeg	1
2022-11-19 14:47:03	https://scc-accessibility-images.s3.ap-northeast-2.amazonaws.com/20221119054701_00F5ADBD1B044ED4.jpeg	1
2022-11-19 14:47:07	https://scc-accessibility-images.s3.ap-northeast-2.amazonaws.com/20221119054705_42091FE457A54167.jpeg	1
2022-11-19 14:47:12	https://scc-accessibility-images.s3.ap-northeast-2.amazonaws.com/20221119054710_F8C3D907AD3443AF.jpeg	1
2022-11-19 14:47:13	https://scc-accessibility-images.s3.ap-northeast-2.amazonaws.com/20221119054710_E3058CC7883F4799.jpeg	2
2022-11-19 14:47:14	https://scc-accessibility-images.s3.ap-northeast-2.amazonaws.com/20221119054710_4170F68D8FCC4F4F.jpeg	3
2022-11-19 14:47:27	https://scc-accessibility-images.s3.ap-northeast-2.amazonaws.com/20221119054724_8F943B9FD92F4D65.jpeg	1
