지하철역,lng,lat
강남,127.02800140627488,37.49808633653005
석촌,127.107004062699,37.5054141216925
교대(법원.검찰청),127.013867969161,37.4927431676548
상수,126.92242989321456,37.54776618366393
강남구청,127.0413109462156,37.51721617197854
논현,127.02165424259898,37.51120000205266
노원,127.063449137455,37.6563403513278
노량진,126.940893179777,37.5135856714992
수서,127.104469788175,37.4852951142482
잠실(송파구청),127.10023101886318,37.51331105877401
양재(서초구청),127.03416413380752,37.48457681195669
문정,127.122484886901,37.4860310539381
고덕,127.15416500963447,37.55504766830918
교대(법원.검찰청),127.013867969161,37.4927431676548
서울역,126.96974961781686,37.55332892758497
가락시장,127.118262745146,37.4930992522183
가락시장,127.118262745146,37.4930992522183
강변(동서울터미널),127.094741101863,37.5351180385975
오목교(목동운동장앞),126.875307312696,37.5245340839144
마곡,126.82469691791624,37.56022863776301
