행 고유번호			담당자	생성시간	윗 사진과의 등록 시차	이미지	건물장소번호	식별정보 1	장소명 (카카오지도명과 동일하게 입력	도로명 주소	1층여부: 1층=1, 1층 아님 2	계단 수 (눈에 보이는 숫자)	경사로 유무 = 있음 1, 없음 2
S301	#REF!	1680965495	박수빈	2023-04-08 14:51:35		https://scc-accessibility-images.s3.ap-northeast-2.amazonaws.com/20230408055132_C438CD07F1B94E1F.jpeg	301	1	글리브		1	1	2
테스트			지수환	2023-04-08 14:51:35			ㅁㄴㅇㄹ	ㅁㄴㅇㄹ	스타벅스 건대스타시티		1	4	1
